zip,year,est total,est gen,est cold,est farm,est other
95724,2012,0,0,0,0,0
95130,2012,0,0,0,0,0
92121,2012,5,2,1,0,2
92008,2012,1,0,0,0,1
96044,2012,0,0,0,0,0
92551,2012,4,4,0,0,0
91030,2012,0,0,0,0,0
95548,2012,0,0,0,0,0
92118,2012,0,0,0,0,0
91902,2012,0,0,0,0,0
92679,2012,0,0,0,0,0
93638,2012,0,0,0,0,0
92345,2012,0,0,0,0,0
90041,2012,0,0,0,0,0
93271,2012,0,0,0,0,0
91792,2012,0,0,0,0,0
93710,2012,0,0,0,0,0
95129,2012,0,0,0,0,0
95010,2012,0,0,0,0,0
93501,2012,0,0,0,0,0
94303,2012,0,0,0,0,0
95623,2012,0,0,0,0,0
95051,2012,0,0,0,0,0
90254,2012,0,0,0,0,0
95369,2012,0,0,0,0,0
92203,2012,0,0,0,0,0
91775,2012,0,0,0,0,0
93720,2012,0,0,0,0,0
92868,2012,0,0,0,0,0
96022,2012,0,0,0,0,0
94404,2012,0,0,0,0,0
90032,2012,1,0,0,1,0
95436,2012,0,0,0,0,0
90065,2012,1,1,0,0,0
91784,2012,0,0,0,0,0
94533,2012,1,1,0,0,0
95018,2012,1,0,0,0,1
91367,2012,0,0,0,0,0
95117,2012,1,1,0,0,0
92673,2012,0,0,0,0,0
93544,2012,0,0,0,0,0
96056,2012,0,0,0,0,0
92211,2012,1,0,0,0,1
96035,2012,0,0,0,0,0
92584,2012,0,0,0,0,0
93265,2012,0,0,0,0,0
94010,2012,1,1,0,0,0
91739,2012,2,2,0,0,0
92337,2012,13,11,1,0,1
95427,2012,0,0,0,0,0
92508,2012,4,4,0,0,0
92281,2012,0,0,0,0,0
95685,2012,0,0,0,0,0
91108,2012,0,0,0,0,0
93306,2012,0,0,0,0,0
95210,2012,0,0,0,0,0
93021,2012,3,2,0,0,1
94536,2012,0,0,0,0,0
92243,2012,1,1,0,0,0
92020,2012,0,0,0,0,0
91766,2012,7,5,0,0,2
92104,2012,0,0,0,0,0
92003,2012,0,0,0,0,0
91204,2012,1,1,0,0,0
93510,2012,0,0,0,0,0
