zip,year,est total,est gen,est cold,est farm,est other
203,95631,2014,0,0,0,0,0
204,95691,2014,7,5,0,1,1
205,95836,2014,0,0,0,0,0
206,94111,2014,0,0,0,0,0
207,95843,2014,0,0,0,0,0
208,92507,2014,9,9,0,0,0
209,90717,2014,0,0,0,0,0
210,93706,2014,7,6,1,0,0
211,92544,2014,0,0,0,0,0
212,93552,2014,0,0,0,0,0
213,95585,2014,0,0,0,0,0
214,90623,2014,1,0,0,0,1
215,94960,2014,0,0,0,0,0
216,96117,2014,0,0,0,0,0
217,95634,2014,0,0,0,0,0
218,96113,2014,0,0,0,0,0
219,93428,2014,0,0,0,0,0
220,94508,2014,0,0,0,0,0
221,91356,2014,0,0,0,0,0
222,95134,2014,1,0,0,0,1
223,92055,2014,0,0,0,0,0
224,92276,2014,0,0,0,0,0
225,95628,2014,3,3,0,0,0
226,92603,2014,0,0,0,0,0
227,93465,2014,0,0,0,0,0
228,93033,2014,1,1,0,0,0
229,92879,2014,2,1,0,0,1
230,90013,2014,1,0,1,0,0
231,95334,2014,1,0,1,0,0
232,90056,2014,0,0,0,0,0
233,96161,2014,1,0,1,0,0
234,95348,2014,1,1,0,0,0
235,94920,2014,1,0,1,0,0
236,95953,2014,1,0,1,0,0
237,93612,2014,0,0,0,0,0
238,93702,2014,0,0,0,0,0
239,91745,2014,5,5,0,0,0
240,94530,2014,0,0,0,0,0
241,92610,2014,1,1,0,0,0
242,95819,2014,2,2,0,0,0
243,95125,2014,1,1,0,0,0
244,93301,2014,3,2,1,0,0
245,92105,2014,1,0,0,0,1
246,93726,2014,0,0,0,0,0
247,94707,2014,0,0,0,0,0
248,95252,2014,0,0,0,0,0
249,92101,2014,3,1,1,0,1
250,92241,2014,0,0,0,0,0
251,91932,2014,0,0,0,0,0
252,95333,2014,0,0,0,0,0
253,92692,2014,0,0,0,0,0
254,96021,2014,0,0,0,0,0
255,92582,2014,0,0,0,0,0
256,92064,2014,2,0,0,0,2
257,91316,2014,0,0,0,0,0
258,91740,2014,0,0,0,0,0
259,91352,2014,4,2,1,0,1
260,95076,2014,9,3,6,0,0
261,94109,2014,0,0,0,0,0
262,90077,2014,0,0,0,0,0
263,92557,2014,0,0,0,0,0
264,93721,2014,3,0,1,1,1
265,94301,2014,0,0,0,0,0
266,90810,2014,19,18,1,0,0
267,94803,2014,1,1,0,0,0
268,95925,2014,0,0,0,0,0
269,91402,2014,1,0,0,0,1
270,91207,2014,0,0,0,0,0
271,95979,2014,0,0,0,0,0
272,93905,2014,0,0,0,0,0
273,93647,2014,0,0,0,0,0
274,93030,2014,5,4,1,0,0
275,95138,2014,0,0,0,0,0
276,92109,2014,0,0,0,0,0
277,91502,2014,1,1,0,0,0
278,90732,2014,0,0,0,0,0
279,92067,2014,0,0,0,0,0
280,92866,2014,0,0,0,0,0
281,93927,2014,0,0,0,0,0
282,95776,2014,13,13,0,0,0
283,93060,2014,1,0,0,1,0
284,94928,2014,0,0,0,0,0
285,94114,2014,0,0,0,0,0
286,92223,2014,3,2,0,0,1
287,95361,2014,0,0,0,0,0
288,94571,2014,0,0,0,0,0
289,95720,2014,0,0,0,0,0
290,90049,2014,0,0,0,0,0
291,91436,2014,1,0,1,0,0
292,95959,2014,1,0,0,0,1
293,94702,2014,0,0,0,0,0
294,94043,2014,0,0,0,0,0
295,96132,2014,0,0,0,0,0
296,91311,2014,4,4,0,0,0
297,96124,2014,0,0,0,0,0
298,94549,2014,0,0,0,0,0
299,95336,2014,4,2,1,0,1
300,94806,2014,0,0,0,0,0
301,93505,2014,0,0,0,0,0
302,95542,2014,0,0,0,0,0
303,90303,2014,0,0,0,0,0
304,92661,2014,0,0,0,0,0
305,92530,2014,0,0,0,0,0
306,94577,2014,15,12,1,0,2
307,92887,2014,0,0,0,0,0
308,90292,2014,1,0,0,0,1
309,92027,2014,0,0,0,0,0
310,95662,2014,0,0,0,0,0
311,92029,2014,1,1,0,0,0
312,90027,2014,0,0,0,0,0
313,90715,2014,0,0,0,0,0
314,92653,2014,2,2,0,0,0
315,92285,2014,0,0,0,0,0
316,95337,2014,1,1,0,0,0
317,95131,2014,9,6,1,0,2
318,95073,2014,1,0,0,0,1
319,92805,2014,5,3,0,0,2
320,93204,2014,0,0,0,0,0
321,93207,2014,0,0,0,0,0
322,93926,2014,0,0,0,0,0
323,95673,2014,0,0,0,0,0
324,95822,2014,1,1,0,0,0
325,91344,2014,0,0,0,0,0
326,90240,2014,1,1,0,0,0
327,91755,2014,0,0,0,0,0
328,94118,2014,0,0,0,0,0
329,91723,2014,1,1,0,0,0
330,94553,2014,0,0,0,0,0
331,93955,2014,0,0,0,0,0
332,94158,2014,0,0,0,0,0
333,90266,2014,0,0,0,0,0
334,93640,2014,0,0,0,0,0
335,95724,2014,0,0,0,0,0
336,95130,2014,0,0,0,0,0
337,92121,2014,9,4,1,0,4
