,zip,year,est total,est gen,est cold,est farm,est other
542,95722,2012,0,0,0,0,0
543,93725,2012,12,6,1,3,2
544,93637,2012,2,0,1,0,1
545,96130,2012,0,0,0,0,0
546,92358,2012,0,0,0,0,0
547,92201,2012,1,1,0,0,0
548,93445,2012,0,0,0,0,0
549,93940,2012,1,1,0,0,0
550,93625,2012,2,1,1,0,0
551,92325,2012,0,0,0,0,0
552,90262,2012,2,2,0,0,0
553,90405,2012,0,0,0,0,0
554,95388,2012,0,0,0,0,0
555,91911,2012,5,4,0,0,1
556,94582,2012,0,0,0,0,0
557,90230,2012,0,0,0,0,0
558,93650,2012,0,0,0,0,0
559,92883,2012,2,2,0,0,0
560,94506,2012,0,0,0,0,0
561,93401,2012,1,1,0,0,0
562,91910,2012,0,0,0,0,0
563,94606,2012,4,2,1,1,0
564,96064,2012,1,1,0,0,0
565,92860,2012,1,1,0,0,0
566,95382,2012,0,0,0,0,0
567,91791,2012,0,0,0,0,0
568,95257,2012,0,0,0,0,0
569,93402,2012,0,0,0,0,0
570,95698,2012,0,0,0,0,0
571,91801,2012,0,0,0,0,0
572,92256,2012,0,0,0,0,0
573,90006,2012,1,0,0,0,1
574,96002,2012,1,0,0,0,1
575,92310,2012,0,0,0,0,0
576,93291,2012,10,9,0,0,1
577,95626,2012,0,0,0,0,0
578,95728,2012,0,0,0,0,0
579,92014,2012,0,0,0,0,0
580,94709,2012,0,0,0,0,0
581,93444,2012,2,1,1,0,0
582,90755,2012,0,0,0,0,0
583,95757,2012,0,0,0,0,0
584,93517,2012,0,0,0,0,0
585,92282,2012,0,0,0,0,0
586,90602,2012,0,0,0,0,0
587,91401,2012,0,0,0,0,0
588,91423,2012,1,1,0,0,0
589,95012,2012,2,0,1,0,1
590,92309,2012,0,0,0,0,0
591,95703,2012,0,0,0,0,0
592,95127,2012,0,0,0,0,0
593,90247,2012,0,0,0,0,0
594,94964,2012,0,0,0,0,0
595,90048,2012,1,0,0,0,1
596,91362,2012,1,1,0,0,0
597,92154,2012,19,12,3,0,4
598,95618,2012,0,0,0,0,0
599,94560,2012,5,4,1,0,0
600,96010,2012,0,0,0,0,0
601,95670,2012,2,2,0,0,0
602,92704,2012,5,4,0,0,1
603,94621,2012,4,4,0,0,0
604,90660,2012,11,7,1,0,3
605,93230,2012,2,2,0,0,0
606,92009,2012,0,0,0,0,0
607,90840,2012,0,0,0,0,0
608,93654,2012,6,1,5,0,0
609,94028,2012,0,0,0,0,0
610,91381,2012,0,0,0,0,0
611,91024,2012,0,0,0,0,0
612,91040,2012,0,0,0,0,0
613,95468,2012,0,0,0,0,0
614,93309,2012,0,0,0,0,0
615,92277,2012,0,0,0,0,0
616,92392,2012,2,1,1,0,0
617,91978,2012,0,0,0,0,0
618,92021,2012,0,0,0,0,0
619,90278,2012,1,1,0,0,0
620,91754,2012,2,2,0,0,0
621,95054,2012,7,4,0,0,3
622,94566,2012,0,0,0,0,0
623,92127,2012,1,1,0,0,0
624,92561,2012,0,0,0,0,0
625,90601,2012,5,5,0,0,0
626,95981,2012,0,0,0,0,0
627,92084,2012,1,0,0,0,1
628,93924,2012,0,0,0,0,0
629,91361,2012,1,0,0,0,1
630,92376,2012,9,6,0,0,3
631,90040,2012,18,14,1,0,3
632,93591,2012,0,0,0,0,0
633,90038,2012,2,0,0,0,2
634,90630,2012,4,4,0,0,0
635,92802,2012,0,0,0,0,0
636,92808,2012,0,0,0,0,0
637,92113,2012,0,0,0,0,0
