zip,year,est total,est gen,est cold,est farm,est other
93309,2019,0,0,0,0,0
92870,2019,6,5,0,0,0
93206,2019,0,0,0,0,0
93292,2019,0,0,0,0,0
95670,2019,0,0,0,0,0
92254,2019,0,0,0,0,0
93622,2019,0,0,0,0,0
91911,2019,5,4,0,0,0
94577,2019,20,14,3,0,0
92880,2019,0,0,0,0,0
91342,2019,4,0,0,0,0
93033,2019,3,0,0,0,0
94592,2019,0,0,0,0,0
95334,2019,0,0,0,0,0
95076,2019,10,0,7,0,0
94578,2019,0,0,0,0,0
93272,2019,0,0,0,0,0
95039,2019,0,0,0,0,0
91710,2019,33,31,0,0,0
92223,2019,3,3,0,0,0
93285,2019,0,0,0,0,0
95002,2019,0,0,0,0,0
95111,2019,0,0,0,0,0
92233,2019,0,0,0,0,0
93656,2019,0,0,0,0,0
95991,2019,0,0,0,0,0
95833,2019,0,0,0,0,0
95901,2019,0,0,0,0,0
95388,2019,0,0,0,0,0
90241,2019,0,0,0,0,0
91325,2019,0,0,0,0,0
95360,2019,0,0,0,0,0
91356,2019,0,0,0,0,0
93245,2019,0,0,0,0,0
92841,2019,5,0,0,0,0
95369,2019,0,0,0,0,0
93234,2019,0,0,0,0,0
92804,2019,0,0,0,0,0
92395,2019,0,0,0,0,0
90716,2019,0,0,0,0,0
91343,2019,0,0,0,0,0
93207,2019,0,0,0,0,0
91303,2019,0,0,0,0,0
93905,2019,0,0,0,0,0
94080,2019,16,13,0,0,0
94572,2019,0,0,0,0,0
95315,2019,0,0,0,0,0
93306,2019,0,0,0,0,0
95965,2019,0,0,0,0,0
92627,2019,0,0,0,0,0
90502,2019,0,0,0,0,0
94544,2019,12,11,0,0,0
91103,2019,0,0,0,0,0
90755,2019,0,0,0,0,0
92530,2019,0,0,0,0,0
94063,2019,0,0,0,0,0
92833,2019,5,3,0,0,0
93203,2019,0,0,0,0,0
95116,2019,0,0,0,0,0
93268,2019,0,0,0,0,0
94107,2019,0,0,0,0,0
95037,2019,0,0,0,0,0
93611,2019,0,0,0,0,0
92337,2019,21,16,0,0,5
91306,2019,0,0,0,0,0
95605,2019,3,3,0,0,0
90005,2019,0,0,0,0,0
92704,2019,4,4,0,0,0
93505,2019,0,0,0,0,0
94553,2019,0,0,0,0,0
93247,2019,0,0,0,0,0
94587,2019,10,9,0,0,0
90045,2019,6,6,0,0,0
94102,2019,0,0,0,0,0
94560,2019,4,4,0,0,0
95110,2019,0,0,0,0,0
94103,2019,3,0,0,0,0
92582,2019,0,0,0,0,0
92225,2019,0,0,0,0,0
93001,2019,0,0,0,0,0
95820,2019,0,0,0,0,0
93251,2019,0,0,0,0,0
95361,2019,0,0,0,0,0
91723,2019,0,0,0,0,0
93901,2019,12,7,4,0,0
92567,2019,0,0,0,0,0
92555,2019,3,3,0,0,0
92345,2019,0,0,0,0,0
95212,2019,0,0,0,0,0
92105,2019,0,0,0,0,0
95827,2019,0,0,0,0,0
95356,2019,0,0,0,0,0
95374,2019,0,0,0,0,0
93615,2019,0,0,0,0,0
91324,2019,0,0,0,0,0
95320,2019,0,0,0,0,0
95326,2019,0,0,0,0,0
92802,2019,0,0,0,0,0
92309,2019,0,0,0,0,0
95050,2019,4,4,0,0,0
92867,2019,0,0,0,0,0
92173,2019,0,0,0,0,0
91304,2019,0,0,0,0,0
93242,2019,0,0,0,0,0
91792,2019,0,0,0,0,0
90701,2019,0,0,0,0,0
92647,2019,6,6,0,0,0
93535,2019,0,0,0,0,0
90747,2019,0,0,0,0,0
95832,2019,0,0,0,0,0
94612,2019,0,0,0,0,0
90604,2019,0,0,0,0,0
91776,2019,0,0,0,0,0
91016,2019,0,0,0,0,0
91739,2019,0,0,0,0,0
91506,2019,0,0,0,0,0
94589,2019,0,0,0,0,0
94710,2019,4,4,0,0,0
93241,2019,0,0,0,0,0
94561,2019,0,0,0,0,0
95407,2019,4,4,0,0,0
93223,2019,0,0,0,0,0
91602,2019,0,0,0,0,0
93204,2019,0,0,0,0,0
94066,2019,0,0,0,0,0
92844,2019,0,0,0,0,0
93933,2019,0,0,0,0,0
95333,2019,0,0,0,0,0
94545,2019,19,13,0,0,4
94501,2019,0,0,0,0,0
90046,2019,0,0,0,0,0
90071,2019,0,0,0,0,0
91945,2019,0,0,0,0,0
93552,2019,0,0,0,0,0
95817,2019,0,0,0,0,0
93636,2019,0,0,0,0,0
95841,2019,0,0,0,0,0
90703,2019,8,5,0,0,3
91311,2019,9,7,0,0,0
94520,2019,6,6,0,0,0
95355,2019,0,0,0,0,0
94571,2019,0,0,0,0,0
92283,2019,0,0,0,0,0
94534,2019,7,7,0,0,0
91708,2019,34,34,0,0,0
90042,2019,0,0,0,0,0
95209,2019,0,0,0,0,0
92220,2019,0,0,0,0,0
93455,2019,0,0,0,0,0
92545,2019,0,0,0,0,0
91803,2019,3,3,0,0,0
91351,2019,0,0,0,0,0
92025,2019,0,0,0,0,0
93286,2019,0,0,0,0,0
95660,2019,3,0,0,0,0
94559,2019,0,0,0,0,0
90240,2019,0,0,0,0,0
95023,2019,3,0,0,0,0
92655,2019,0,0,0,0,0
92307,2019,0,0,0,0,0
93277,2019,0,0,0,0,0
95125,2019,0,0,0,0,0
93210,2019,0,0,0,0,0
93561,2019,0,0,0,0,0
91942,2019,0,0,0,0,0
95655,2019,0,0,0,0,0
92508,2019,5,5,0,0,0
90305,2019,0,0,0,0,0
92394,2019,0,0,0,0,0
95966,2019,0,0,0,0,0
95825,2019,3,3,0,0,0
90035,2019,0,0,0,0,0
95382,2019,0,0,0,0,0
92251,2019,3,0,0,0,0
90025,2019,0,0,0,0,0
92250,2019,0,0,0,0,0
92399,2019,0,0,0,0,0
95126,2019,0,0,0,0,0
92544,2019,0,0,0,0,0
96021,2019,0,0,0,0,0
91316,2019,0,0,0,0,0
92274,2019,0,0,0,0,0
94513,2019,0,0,0,0,0
90020,2019,0,0,0,0,0
92054,2019,0,0,0,0,0
94005,2019,0,0,0,0,0
91711,2019,0,0,0,0,0
94609,2019,0,0,0,0,0
91320,2019,0,0,0,0,0
94014,2019,0,0,0,0,0
92782,2019,0,0,0,0,0
94521,2019,0,0,0,0,0
94541,2019,0,0,0,0,0
93907,2019,0,0,0,0,0
93560,2019,0,0,0,0,0
93041,2019,0,0,0,0,0
92865,2019,0,0,0,0,0
92506,2019,0,0,0,0,0
91755,2019,0,0,0,0,0
90230,2019,0,0,0,0,0
95945,2019,3,3,0,0,0
95401,2019,0,0,0,0,0
91403,2019,0,0,0,0,0
91750,2019,0,0,0,0,0
91748,2019,15,9,0,0,5
92373,2019,0,0,0,0,0
94134,2019,0,0,0,0,0
91791,2019,0,0,0,0,0
94579,2019,0,0,0,0,0
92590,2019,0,0,0,0,0
92585,2019,0,0,0,0,0
93036,2019,0,0,0,0,0
94901,2019,0,0,0,0,0
95758,2019,6,6,0,0,0
95816,2019,0,0,0,0,0
92154,2019,31,22,0,0,7
94110,2019,0,0,0,0,0
95324,2019,0,0,0,0,0
92332,2019,0,0,0,0,0
92860,2019,0,0,0,0,0
93534,2019,0,0,0,0,0
95988,2019,0,0,0,0,0
95822,2019,0,0,0,0,0
92071,2019,0,0,0,0,0
95834,2019,4,3,0,0,0
90066,2019,0,0,0,0,0
91709,2019,0,0,0,0,0
93550,2019,0,0,0,0,0
93711,2019,0,0,0,0,0
92618,2019,5,4,0,0,0
95121,2019,0,0,0,0,0
95993,2019,0,0,0,0,0
91505,2019,0,0,0,0,0
91780,2019,3,0,0,0,0
95219,2019,0,0,0,0,0
92347,2019,0,0,0,0,0
95957,2019,0,0,0,0,0
92840,2019,0,0,0,0,0
95673,2019,0,0,0,0,0
92021,2019,0,0,0,0,0
92706,2019,0,0,0,0,0
93103,2019,0,0,0,0,0
94533,2019,3,3,0,0,0
95386,2019,0,0,0,0,0
92780,2019,0,0,0,0,0
90024,2019,0,0,0,0,0
91384,2019,0,0,0,0,0
92675,2019,0,0,0,0,0
90401,2019,0,0,0,0,0
92591,2019,0,0,0,0,0
92356,2019,0,0,0,0,0
93021,2019,3,3,0,0,0
92078,2019,0,0,0,0,0
91722,2019,0,0,0,0,0
90717,2019,0,0,0,0,0
90064,2019,0,0,0,0,0
94542,2019,0,0,0,0,0
94605,2019,0,0,0,0,0
90803,2019,0,0,0,0,0
90504,2019,0,0,0,0,0
92881,2019,3,3,0,0,0
92821,2019,6,4,0,0,0
95242,2019,0,0,0,0,0
93015,2019,0,0,0,0,0
92392,2019,0,0,0,0,0
95482,2019,0,0,0,0,0
91101,2019,0,0,0,0,0
91040,2019,0,0,0,0,0
91345,2019,0,0,0,0,0
92868,2019,0,0,0,0,0
95012,2019,3,0,0,0,0
94805,2019,0,0,0,0,0
90010,2019,0,0,0,0,0
94538,2019,7,5,0,0,0
91321,2019,0,0,0,0,0
95953,2019,0,0,0,0,0
95678,2019,4,4,0,0,0
93501,2019,0,0,0,0,0
91607,2019,0,0,0,0,0
92363,2019,0,0,0,0,0
92239,2019,0,0,0,0,0
96080,2019,5,5,0,0,0
96094,2019,0,0,0,0,0
91006,2019,0,0,0,0,0
95316,2019,0,0,0,0,0
90232,2019,0,0,0,0,0
93908,2019,0,0,0,0,0
95127,2019,0,0,0,0,0
93101,2019,0,0,0,0,0
94580,2019,0,0,0,0,0
91344,2019,0,0,0,0,0
93004,2019,0,0,0,0,0
94564,2019,0,0,0,0,0
95377,2019,6,5,0,0,0
92548,2019,0,0,0,0,0
95932,2019,0,0,0,0,0
90056,2019,0,0,0,0,0
93906,2019,0,0,0,0,0
94401,2019,0,0,0,0,0
95757,2019,0,0,0,0,0
90740,2019,0,0,0,0,0
93720,2019,0,0,0,0,0
94546,2019,0,0,0,0,0
92612,2019,0,0,0,0,0
92114,2019,0,0,0,0,0
95134,2019,0,0,0,0,0
91789,2019,17,17,0,0,0
95641,2019,0,0,0,0,0
95776,2019,10,10,0,0,0
90712,2019,0,0,0,0,0
95688,2019,11,10,0,0,0
92562,2019,0,0,0,0,0
92630,2019,0,0,0,0,0
94591,2019,0,0,0,0,0
91724,2019,0,0,0,0,0
96001,2019,0,0,0,0,0
95926,2019,0,0,0,0,0
90807,2019,0,0,0,0,0
90048,2019,0,0,0,0,0
94702,2019,0,0,0,0,0
91932,2019,0,0,0,0,0
92315,2019,0,0,0,0,0
92583,2019,0,0,0,0,0
92325,2019,0,0,0,0,0
95842,2019,0,0,0,0,0
93042,2019,0,0,0,0,0
91501,2019,0,0,0,0,0
92123,2019,4,0,0,0,0
90291,2019,0,0,0,0,0
94602,2019,0,0,0,0,0
95128,2019,0,0,0,0,0
95366,2019,0,0,0,0,0
91350,2019,0,0,0,0,0
95948,2019,0,0,0,0,0
92056,2019,5,3,0,0,0
93012,2019,7,6,0,0,0
94085,2019,0,0,0,0,0
95698,2019,0,0,0,0,0
96035,2019,0,0,0,0,0
90041,2019,0,0,0,0,0
91765,2019,0,0,0,0,0
91001,2019,0,0,0,0,0
92807,2019,0,0,0,0,0
96022,2019,0,0,0,0,0
93454,2019,0,0,0,0,0
95035,2019,5,4,0,0,0
92624,2019,0,0,0,0,0
92866,2019,0,0,0,0,0
90292,2019,0,0,0,0,0
95370,2019,0,0,0,0,0
95620,2019,0,0,0,0,0
92708,2019,0,0,0,0,0
92328,2019,0,0,0,0,0
91330,2019,0,0,0,0,0
95043,2019,0,0,0,0,0
91106,2019,0,0,0,0,0
92314,2019,0,0,0,0,0
94585,2019,0,0,0,0,0
92103,2019,0,0,0,0,0
94015,2019,0,0,0,0,0
93518,2019,0,0,0,0,0
95640,2019,0,0,0,0,0
93555,2019,0,0,0,0,0
91042,2019,0,0,0,0,0
95632,2019,0,0,0,0,0
92110,2019,4,3,0,0,0
93283,2019,0,0,0,0,0
94510,2019,4,4,0,0,0
91740,2019,0,0,0,0,0
95608,2019,0,0,0,0,0
95220,2019,0,0,0,0,0
91773,2019,0,0,0,0,0
91107,2019,0,0,0,0,0
95621,2019,0,0,0,0,0
95132,2019,0,0,0,0,0
93458,2019,3,0,0,0,0
90503,2019,0,0,0,0,0
93221,2019,0,0,0,0,0
93252,2019,0,0,0,0,0
91307,2019,0,0,0,0,0
92595,2019,0,0,0,0,0
93060,2019,0,0,0,0,0
95046,2019,0,0,0,0,0
92344,2019,0,0,0,0,0
95540,2019,0,0,0,0,0
94108,2019,0,0,0,0,0
94089,2019,0,0,0,0,0
93551,2019,0,0,0,0,0
95192,2019,0,0,0,0,0
92845,2019,0,0,0,0,0
92111,2019,0,0,0,0,0
92626,2019,0,0,0,0,0
95747,2019,4,3,0,0,0
92069,2019,0,0,0,0,0
92139,2019,0,0,0,0,0
94505,2019,0,0,0,0,0
92104,2019,0,0,0,0,0
